index,active_qubit_count_per_index,avg_toffoli_gates_per_run_in_bin,phase_name
11216,769,6.000000,tlm_coord_x_sub+tlm_coord_y_sub
11354,816,39.000000,tlm_coord_x_sub+tlm_coord_y_sub
11491,819,7.482713,tlm_coord_x_sub+tlm_coord_y_sub
11629,797,0.000000,tlm_coord_x_sub+tlm_coord_y_sub
11767,776,0.000000,tlm_coord_x_sub+tlm_coord_y_sub
11904,774,8.150709,tlm_coord_x_sub+tlm_coord_y_sub
12042,784,1.528258,tlm_coord_x_sub+tlm_coord_y_sub
12179,769,0.000000,tlm_coord_x_sub+tlm_coord_y_sub
12317,768,0.000000,tlm_coord_x_sub+tlm_coord_y_sub
12455,768,0.000000,tlm_coord_x_sub+tlm_coord_y_sub
12592,768,0.000000,tlm_coord_x_sub+tlm_coord_y_sub
12730,768,0.000000,tlm_coord_x_sub+tlm_coord_y_sub
12868,768,0.000000,tlm_coord_x_sub+tlm_coord_y_sub
13005,719,0.000000,tlm_coord_x_sub+tlm_coord_y_sub
13143,581,0.000000,tlm_coord_x_sub+tlm_coord_y_sub
21184,1026,2278.695257,tlm_inverse
37129,1042,2275.376884,tlm_inverse
53073,1043,2280.477283,tlm_inverse
69018,1035,2284.895833,tlm_inverse
84963,1039,2303.573692,tlm_inverse
100907,1052,2288.575798,tlm_inverse
116852,1059,2269.474291,tlm_inverse
132796,1046,2285.408910,tlm_inverse
148741,1084,2289.646277,tlm_inverse
164686,1104,2260.902815,tlm_inverse
180630,1111,2240.757646,tlm_inverse
196575,1149,2237.498559,tlm_inverse
212520,1060,2179.650709,tlm_inverse
228464,1123,2229.017952,tlm_inverse
244409,1149,2201.926529,tlm_inverse
260353,1052,2212.700355,tlm_inverse
276298,1052,2217.811170,tlm_inverse
292243,1053,2197.418218,tlm_inverse
308187,1085,2225.092753,tlm_inverse
324132,1053,2117.861480,tlm_inverse
340077,1054,2189.190049,tlm_inverse
356021,1055,2220.476729,tlm_inverse
371966,1073,2128.625776,tlm_inverse
387910,1085,2163.367575,tlm_inverse
403855,1101,2224.369902,tlm_inverse
419800,1055,2214.663785,tlm_inverse
435744,1077,2216.338098,tlm_inverse
451689,1098,2226.735040,tlm_inverse
467634,1119,2230.759309,tlm_inverse
483578,1113,2218.932735,tlm_inverse
499523,1087,2210.187832,tlm_inverse
515467,1062,2225.854056,tlm_inverse
531412,1085,2202.290337,tlm_inverse
547357,1095,2198.417886,tlm_inverse
563301,1106,2194.675643,tlm_inverse
579246,1128,2195.322473,tlm_inverse
595190,1134,2192.041334,tlm_inverse
611135,1139,2172.927637,tlm_inverse
627080,1114,2193.010527,tlm_inverse
643024,1117,2190.279920,tlm_inverse
658969,1121,2173.625665,tlm_inverse
674914,1092,2184.277926,tlm_inverse
690858,1108,2191.144393,tlm_inverse
706803,1123,2166.964207,tlm_inverse
722747,1105,2189.083887,tlm_inverse
738692,1129,2186.222185,tlm_inverse
754637,1144,2169.285904,tlm_inverse
770581,1144,2175.929078,tlm_inverse
786526,1131,2168.710550,tlm_inverse
802471,1114,2168.099734,tlm_inverse
818415,1111,2164.678524,tlm_inverse
834360,1090,2143.088320,tlm_inverse
850304,1069,2160.619792,tlm_inverse
866249,1072,2139.184286,tlm_inverse
882194,1121,2133.016401,tlm_inverse
898138,1093,2145.397052,tlm_inverse
914083,1128,2151.059840,tlm_inverse
930028,1100,2140.072695,tlm_inverse
945972,1071,2137.039007,tlm_inverse
961917,1065,2193.266401,tlm_inverse
977861,1113,2220.453347,tlm_inverse
993806,1084,2181.565049,tlm_inverse
1009751,1065,2141.761192,tlm_inverse
1025695,1069,2226.931294,tlm_inverse
1041640,1068,2188.003657,tlm_inverse
1057585,1069,2138.519725,tlm_inverse
1073529,1096,2149.626219,tlm_inverse
1089474,1069,2145.630984,tlm_inverse
1105418,1070,2153.223404,tlm_inverse
1121363,1149,2163.372673,tlm_inverse
1137308,1132,2126.416888,tlm_inverse
1153252,1076,2170.267841,tlm_inverse
1169197,1130,2124.869016,tlm_inverse
1185141,1093,2119.531028,tlm_inverse
1201086,1083,2070.392620,tlm_inverse
1217031,1084,2084.465536,tlm_inverse
1232975,1071,2073.989473,tlm_inverse
1248920,1098,2074.136414,tlm_inverse
1264865,1074,2073.889960,tlm_inverse
1280809,1073,2077.364583,tlm_inverse
1296754,1072,2084.070368,tlm_inverse
1312698,1136,2201.723626,tlm_inverse
1328643,1094,2110.013076,tlm_inverse
1344588,1109,2186.194149,tlm_inverse
1360532,1118,2122.153147,tlm_inverse
1376477,1152,2138.204787,tlm_inverse
1392422,1079,2109.245678,tlm_inverse
1408366,1090,2058.905807,tlm_inverse
1424311,1115,2051.922872,tlm_inverse
1440255,1123,2127.120567,tlm_inverse
1456200,1124,2152.967199,tlm_inverse
1472145,1094,2245.646055,tlm_inverse
1488089,1079,2095.499003,tlm_inverse
1504034,1080,2113.488586,tlm_inverse
1519979,1149,2111.484486,tlm_inverse
1535923,1149,2114.895390,tlm_inverse
1551868,1082,2049.573582,tlm_inverse
1567812,1081,2001.534685,tlm_inverse
1583757,1096,1997.691933,tlm_inverse
1599702,1080,2030.601064,tlm_inverse
1615646,1081,1996.392066,tlm_inverse
1631591,1120,2151.742243,tlm_inverse
1647536,1123,2143.550864,tlm_inverse
1663480,1108,2111.990802,tlm_inverse
1679425,1095,2067.261968,tlm_inverse
1695369,1093,1981.445257,tlm_inverse
1711314,1098,2070.127660,tlm_inverse
1727259,1085,2165.259530,tlm_inverse
1743203,1090,2187.843972,tlm_inverse
1759148,1118,2073.563276,tlm_inverse
1775092,1149,2087.015293,tlm_inverse
1791037,1144,2075.256095,tlm_inverse
1806982,1095,1963.911902,tlm_inverse
1822926,1114,1956.147606,tlm_inverse
1838871,1088,1974.083666,tlm_inverse
1854816,1086,1976.252770,tlm_inverse
1870760,1151,2154.204676,tlm_inverse
1886705,1136,2100.639517,tlm_inverse
1902649,1100,2030.417996,tlm_inverse
1918594,1109,1949.400820,tlm_inverse
1934539,1127,2153.645833,tlm_inverse
1950483,1089,2167.298205,tlm_inverse
1966428,1132,2083.614029,tlm_inverse
1982373,1128,2078.524158,tlm_inverse
1998317,1114,1962.182402,tlm_inverse
2014262,1105,1910.683732,tlm_inverse
2030206,1093,1933.681184,tlm_inverse
2046151,1091,2015.591090,tlm_inverse
2062096,1145,2082.481605,tlm_inverse
2078040,1152,2032.636857,tlm_inverse
2093985,1097,1940.822584,tlm_inverse
2109930,1104,2109.216423,tlm_inverse
2125874,1092,2169.205674,tlm_inverse
2141819,1101,2077.151928,tlm_inverse
2157763,1137,2029.846520,tlm_inverse
2173708,1092,1883.246454,tlm_inverse
2189653,1094,1888.077682,tlm_inverse
2205597,1113,2010.617575,tlm_inverse
2221542,1101,2077.077682,tlm_inverse
2237487,1150,1919.968196,tlm_inverse
2253431,1115,2117.040780,tlm_inverse
2269376,1130,2139.421543,tlm_inverse
2285320,1097,2074.404255,tlm_inverse
2301265,1112,1959.937722,tlm_inverse
2317210,1097,1844.708444,tlm_inverse
2333154,1097,1889.111924,tlm_inverse
2349099,1137,2096.732934,tlm_inverse
2365043,1131,1959.426640,tlm_inverse
2380988,1113,2148.859153,tlm_inverse
2396933,1111,2116.668218,tlm_inverse
2412877,1138,2048.368684,tlm_inverse
2428822,1098,1839.888298,tlm_inverse
2444767,1098,1835.663785,tlm_inverse
2460711,1145,2030.540559,tlm_inverse
2476656,1121,1964.298094,tlm_inverse
2492600,1135,2168.033799,tlm_inverse
2508545,1120,2099.092088,tlm_inverse
2524490,1133,2039.716423,tlm_inverse
2540434,1124,1793.204787,tlm_inverse
2556379,1101,1836.250997,tlm_inverse
2572324,1134,2093.708887,tlm_inverse
2588268,1137,1971.127881,tlm_inverse
2604213,1102,2200.083998,tlm_inverse
2620157,1105,2069.400266,tlm_inverse
2636102,1107,1831.974623,tlm_inverse
2652047,1103,1804.545988,tlm_inverse
2667991,1146,2059.904477,tlm_inverse
2683936,1150,2040.054410,tlm_inverse
2699881,1105,2157.491689,tlm_inverse
2715825,1106,2059.558732,tlm_inverse
2731770,1118,1776.079676,tlm_inverse
2747714,1128,1883.293551,tlm_inverse
2763659,1131,1983.898160,tlm_inverse
2779604,1127,2248.540780,tlm_inverse
2795548,1114,2034.015071,tlm_inverse
2811493,1128,1898.776817,tlm_inverse
2827438,1108,1781.606494,tlm_inverse
2843382,1128,2029.347296,tlm_inverse
2859327,1130,2068.492908,tlm_inverse
2875271,1151,2143.131649,tlm_inverse
2891216,1146,1960.722185,tlm_inverse
2907161,1112,1766.627992,tlm_inverse
2923105,1138,1970.337544,tlm_inverse
2939050,1123,1858.098848,tlm_inverse
2954994,1127,2228.595301,tlm_inverse
2970939,1114,1943.339761,tlm_inverse
2986884,1124,1772.083112,tlm_inverse
3002828,1113,1706.967642,tlm_inverse
3018773,1147,1812.282580,tlm_inverse
